,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
,Fibich,菲比赫,菲比赫,Fibich,Fibich,Фибих,Fibich,Fibich,피히비,ズデニェク・フィビフ,Fibich,Fibich,فبيش,Fibich,Fibich,4
,Berlioz,柏辽兹,柏遼茲,Berlioz,Berlioz,Берлиоз,Berlioz,Berlioz,베를리오즈,ベルリオーズ,Berlioz,Berlioz,برليوز,Berlioz,Berlioz,6
,Diabelli,狄亚贝利,狄亞貝利,Diabelli,Diabelli,Диабелли,Diabelli,Diabelli,디아벨리,ディアベリ,Diabelli,Diabelli,ديبلي,Diabelli,Diabelli,5
,Pascual Marquina,马基纳,馬基納,Pascual Marquina,Pascual Marquina,Pascual Marquina,Pascual Marquina,Pascual Marquina,마키나,マルキナ,Margina,Pascual Marquina,باسكال مركنا,Pascual Marquina,Pascual Marquina,12
,Robert Burns,罗伯特·彭斯,羅伯特·彭斯,Robert Burns,Robert Burns,Роберт Бернс,Robert Burns,Robert Burns,로버트 번스,ロバート・バーンズ,Robert Burns,Robert Burns,روبرت برنس,Robert Burns,Robert Burns,10
,Tianhua Liu,刘天华,劉天華,Tianhua Liu,Tianhua Liu,Люй Тяньхуа,Tianhua Liu,Tianhua Liu,류천화,劉天華,Tianhua Liu,Tianhua Liu,ليو تيان هوا,Tianhua Liu,Tianhua Liu,12
,Robert Schumann,舒曼,舒曼,Robert Schumann,Robert Schumann,Роберт Шуман,Robert Schumann,Robert Schumann,로베르트 슈만,ロベルト・シューマン,Robert Schumann,Robert Schumann,روبرت سشمن,Robert Schumann,Robert Schumann,10
,Mendelssohn,门德尔松,門德爾松,Mendelssohn,Mendelssohn,Мендельсон,Mendelssohn,Mendelssohn,멘델스존,メンデルスゾーン,Mendelssohn,Mendelssohn,مندلسون,Mendelssohn,Mendelssohn,7
,Xinghai Xian,冼星海,冼星海,Xinghai Xian,Xinghai Xian,Сиань Синхай,Xinghai Xian,Xinghai Xian,선성해,しょうせいかい,Xinghai Xian,Xinghai Xian,شيان شينغ هاى,Xinghai Xian,Xinghai Xian,13
,Giuseppe Verdi,威尔第,威爾第,Giuseppe Verdi,Giuseppe Verdi,Верди Джузеппе,Giuseppe Verdi,Giuseppe Verdi,베르디,ヴェルディ,Giuseppe Verdi,Giuseppe Verdi,جوزيبي فيردي,Giuseppe Verdi,Giuseppe Verdi,12
,Giacomo Puccini,贾科莫·普契尼,賈科莫·普契尼,Giacomo Puccini,Giacomo Puccini,Джакомо Пуччини,Giacomo Puccini,Giacomo Puccini,지아코모 푸치니,ジャコモ・プッチーニ,Giacomo Puccini,Giacomo Puccini,جياكومو بكيني,Giacomo Puccini,Giacomo Puccini,13
,Cilea,奇烈亚,奇烈亞,Cilea,Cilea,Франческо Чилеа,Cilea,Cilea,칠레아,キレヤ,Cilea,Cilea,سيلي,Cilea,Cilea,4
,Bedrich Smetana,斯美塔那,斯美塔那,Bedrich Smetana,Bedrich Smetana,Сметана Бедржих,Bedrich Smetana,Bedrich Smetana,스메타나,スメタナ,Bedrich Smetana,Bedrich Smetana,بدريخ سميتانا,Bedrich Smetana,Bedrich Smetana,13
,Ireland Folk Music,爱尔兰民谣,愛爾蘭民謠,Ireland Folk Music,Música folklórica irlandesa,Ирландская народная песня,Música Folclórica Irlandesa,Irland Volkmusik,아일랜드 민요,アイルランドの民謡,Musique Folklorique Irlandaise,Musica Folk Irlandese,الموسيقى الشعبية الارلندية,İrlanda Halk Müzikleri,Ireland Folk Music,26
,Bedrich Smetana,斯美塔那,斯美塔那,Bedrich Smetana,Bedrich Smetana,Сметана Бедржих,Bedrich Smetana,Bedrich Smetana,스메타나,スメタナ,Bedrich Smetana,Bedrich Smetana,بدريخ سميتانا,Bedrich Smetana,Bedrich Smetana,13
,Jean Sibelius,西贝柳斯,西貝柳斯,Jean Sibelius,Jean Sibelius,Ян Сибелиус,Jean Sibelius,Jean Sibelius,시벨리우스,シベリウス,Jean Sibelius,Jean Sibelius,جان سيبليوس,Jean Sibelius,Jean Sibelius,11
,Albert Ellmenreich,爱尔门里奇,愛爾門里奇,Albert Ellmenreich,Albert Ellmenreich,Альберт Эльменрейх,Albert Ellmenreich,Albert Ellmenreich,엘멘라이히,エルモンリーキ,Albert Ellmenreich,Albert Ellmenreich,ألبرت المنريش,Albert Ellmenreich,Albert Ellmenreich,13
,Antonin Dvorak,安东宁·德沃夏克,安東寧·德沃夏克,Antonin Dvorak,Antonin Dvorak,Антонин Дворжак,Antonin Dvorak,Antonin Dvorak,안토닌 드보르작,アントーネー、ドワシャク,Antonin Dvorak,Antonin Dvorak,أنطونين دفوراك,Antonin Dvorak,Antonin Dvorak,14
,Friedrich Burgnlueller,布格缪勒,布格繆勒,Friedrich Burgnlueller,Friedrich Burgnlueller,Фридрих Бургмюллер,Friedrich Burgnlueller,Friedrich Burgnlueller,프리드리히,ブガムラ,Friedrich Burgnlueller,Friedrich Burgnlueller,فريدريك برجنلولر,Friedrich Burgnlueller,Friedrich Burgnlueller,16
,Edward Elgar,爱德华·埃尔加,愛德華·埃爾加,Edward Elgar,Edward Elgar,Эдуард Элгар,Edward Elgar,Edward Elgar,에드워드 엘가,エドワード エルカ,Edward Elgar,Edward Elgar,إدوارد الغر,Edward Elgar,Edward Elgar,11
,Ernesto De Curtis,埃尔内斯托·第·库尔蒂斯,埃爾內斯托·第·庫爾蒂斯,Ernesto De Curtis,Ernesto De Curtis,Эрнесто дэ Куртис,Ernesto De Curtis,Ernesto De Curtis,쿠르티스,アルナズト、デクルデス,Ernesto De Curtis,Ernesto De Curtis,ارنستو دي كورتس,Ernesto De Curtis,Ernesto De Curtis,15
,John Pond Ordway,约翰·奥德威,約翰·奧德威,John Pond Ordway,John Pond Ordway,John Pond Ordway,John Pond Ordway,John Pond Ordway,존 오드웨이,ジョーン ポンダ ヲダーウェ,John Pond Ordway,John Pond Ordway,جون بوند اوردواي,John Pond Ordway,John Pond Ordway,16
,Berkovich,别尔科维奇,別爾科維奇,Berkovich,Berkovich,Беркович И. Я.,Berkovich,Berkovich,벌크비치,ベキウイーコウ,Berkovich,Berkovich,بركفش,Berkovich,Berkovich,5
,Vincenzo di Chiara,V.奇阿拉,V.奇阿拉,Vincenzo di Chiara,Vincenzo di Chiara,Винченцо ди Кьяра,Vincenzo di Chiara,Vincenzo di Chiara,치아라,ウインセンゾウ ヂ チアラー,Vincenzo di Chiara,Vincenzo di Chiara,فنسنزو دي شيرى,Vincenzo di Chiara,Vincenzo di Chiara,14
,Cramer,克拉莫,克拉莫,Cramer,Cramer,Крамер И. Б.,Cramer,Cramer,크라머,クレーマー,Cramer,Cramer,كريمر,Cramer,Cramer,5
,Er Nie,聂耳,聶耳,Er Nie,Er Nie,Не Эр,Er Nie,Er Nie,섭이,アーニー,Er Nie,Er Nie,نيه أر,Er Nie,Er Nie,6
,Shimizu,清水修,清水修,Shimizu,Shimizu,Симидзу,Shimizu,Shimizu,시미즈,シミズ,Shimizu,Shimizu,شيميزو,Shimizu,Shimizu,6
,Japanese Folk Music,日本民谣,日本民謠,Japanese Folk Music,Música folklórica japonesa,Японская народная песня,Música folclórica japonesa,Japanische Volksmusik,일본 민요,日本民謡,Musique Folklorique Japonaise,Musica Folk Giapponese,الموسيقى الشعبية اليابانية,Japon Halk Müzikleri,Japanese Folk Music,26
,Sarah Josepha Hale,萨拉·约瑟法·黑尔,薩拉·約瑟法·黑爾,Sarah Josepha Hale,Sarah Josepha Hale,Сара Хейл Жозефа,Sarah Josepha Hale,Sarah Josepha Hale,새라 헤일,サラージョウゼフ,Sarah Josepha Hale,Sarah Josepha Hale,ساره جوسيف هيل,Sarah Josepha Hale,Sarah Josepha Hale,14
,Oesten,奧斯丁,奧斯丁,Oesten,Oesten,Теодор Остин,Oesten,Oesten,오스텐,エステン,Oesten,Oesten,استن,Oesten,Oesten,4
,Franz Gruber,弗朗茨·格鲁伯,弗朗茨·格魯伯,Franz Gruber,Franz Gruber,Губерт Ф. К.,Franz Gruber,Franz Gruber,프란즈 그루버,フランツ・グルーバー,Franz Gruber,Franz Gruber,فرانز جروبر,Franz Gruber,Franz Gruber,11
,British carol,英国颂歌,英國頌歌,British carol,Oda británica,Британские колядки,Ode britânica,"Britisches Carol",영국 캐럴,イギリス曲,L'ode à La Grande Bretagne,Inno Britannico,الكارول البريطاني,İngiliz Noel Şarkıları,British carol,17
,William Cowper,威廉·科伯,威廉·科伯,William Cowper,William Cowper,Уильям Купер,William Cowper,William Cowper,윌리엄 쿠퍼,ウィリアム・クーパー,William Cowper,William Cowper,وليام كوبر,William Cowper,William Cowper,10
,Adapted by Congfei Wei,魏琮霏改编,魏琮霏改編,Adapted by Congfei Wei,Adaptada por Congfei Wei,Адаптирована Вэй Цунфэй,Adaptada por Congfei Wei,Aktualisierung von Congfei Wei,위종비 편성,Congfei Wei改編,Adapté par Congfei Wei,Adattato da Congfei Wei,إعادة صياغة من كونغفي وي,Adapted by Congfei Wei,Adapted by Congfei Wei,24
,Mikhail Glinka,格林卡,格林卡,Mikhail Glinka,Mikhail Glinka,Глинка М. И.,Mikhail Glinka,Mikhail Glinka,미하일 글린카,ミハイル・グリンカ,Mikhail Glinka,Mikhail Glinka,ميخائيل جلينكا,Mikhail Glinka,Mikhail Glinka,14
,M.P. Mussorgsky,穆索尔斯基,穆索爾斯基,M.P. Mussorgsky,M.P. Mussorgsky,Мусоргский М. П.,M.P. Mussorgsky,M.P. Mussorgsky,무쏘르그스키,M.P.ムソルグスキー,M.P. Mussorgsky,M.P. Mussorgsky,م ب موسورجسكاي,M.P. Mussorgsky,M.P. Mussorgsky,14
,Sergei Prokofiev,普罗科菲耶夫,普羅科菲耶夫,Sergei Prokofiev,Sergei Prokofiev,Прокофьев С. С.,Sergei Prokofiev,Sergei Prokofiev,프로코피예프,プロコフィエフ,Sergei Prokofiev,Sergei Prokofiev,سيرجي بروكوفييف,Sergei Prokofiev,Sergei Prokofiev,15
,Eduardo di Capua,爱德华多·迪卡普阿,愛德華多·迪卡普阿,Eduardo di Capua,Eduardo di Capua,Эдуардо ди Капуа,Eduardo di Capua,Eduardo di Capua,디 카푸아,エドゥアルド・ディ・カプア,Eduardo di Capua,Eduardo di Capua,إدواردو دي كابوا,Eduardo di Capua,Eduardo di Capua,16
,Yuxian Deng,邓雨贤,鄧雨賢,Yuxian Deng,Yuxian Deng,Yuxian Deng,Yuxian Deng,Yuxian Deng,등유현,鄧 雨賢,Yuxian Deng,Yuxian Deng,دينغ يوشيان,Yuxian Deng,Yuxian Deng,11
,Scott Joplin,斯科特·乔普林,斯科特·喬普林,Scott Joplin,Scott Joplin,Скотт Джоплин,Scott Joplin,Scott Joplin,스콧 조플린,スコット・ジョプリン,Scott Joplin,Scott Joplin,سكوت جوبلن,Scott Joplin,Scott Joplin,10
,Sousa,苏萨,蘇薩,Sousa,Sousa,Суза,Sousa,Sousa,수자,ソウサー,Sousa,Sousa,سوسة,Sousa,Sousa,4
,Kirchner,基希纳,基希納,Kirchner,Kirchner,Киршнер,Kirchner,Kirchner,키르히너,キチネー,Kirchner,Kirchner,كيرشنر,Kirchner,Kirchner,6
,Bela Bartok,巴托克,巴托克,Bela Bartok,Bela Bartok,Бела Барток,Bela Bartok,Bela Bartok,벨라바르톡,ベラ バートク,Bela Bartok,Bela Bartok,بلا بارتوك,Bela Bartok,Bela Bartok,10
,Bazzini,巴奇尼,巴奇尼,Bazzini,Bazzini,Антонио Бадзини,Bazzini,Bazzini,바치니,バッジーニ,Bazzini,Bazzini,بزيني,Bazzini,Bazzini,5
,Kabalevsky,卡巴列夫斯基,卡巴列夫斯基,Kabalevsky,Kabalevsky,Кабале́вский,Kabalevsky,Kabalevsky,카발레프스키,ドミトリー・カバレフスキー,Kabalevsky,Kabalevsky,كبليفثكي,Kabalevsky,Kabalevsky,8
,Ravel,拉威尔,拉威爾,Ravel,Ravel,Равель,Ravel,Ravel,라벨,モーリス・ラヴェル,Ravel,Ravel,رافيل,Ravel,Ravel,5
,FR.Bell,FR.贝尔,FR.貝爾,FR.Bell,FR.Bell,Fr. Bell,FR.Bell,FR.Bell,FR.벨,FR.Bell,FR.Bell,FR.Bell,Fr بيل,FR.Bell,FR.Bell,6
,Gexin Chen,陈歌辛,陳歌辛,Gexin Chen,Gexin Chen,Gexin Chen,Gexin Chen,Gexin Chen,진가신,陳歌辛,Gexin Chen,Gexin Chen,تشن قه شين,Gexin Chen,Gexin Chen,10
,Zhong Huang,黄钟,黃鐘,Zhong Huang,Zhong Huang,Zhong Huang,Zhong Huang,Zhong Huang,황종,黄鐘,Zhong Huang,Zhong Huang,هوانغ تشنغ,Zhong Huang,Zhong Huang,10
,H. Lemoine,莱蒙,萊蒙,H. Lemoine,H. Lemoine,Х. Лемойн,H. Lemoine,H. Lemoine,"앙리  르무안",アンリ・ルモワンヌ,H. Lemoine,H. Lemoine,H. يموان,H. Lemoine,H. Lemoine,8
,Karl Hans,卡尔·汉斯,卡爾·漢斯,Karl Hans,Karl Hans,Карл Ганс,Karl Hans,Karl Hans,한스 칼,カール・ハンス,Karl Hans,Karl Hans,كارل هانز,Karl Hans,Karl Hans,9
,Gullit,古利特,古利特,Gullit,Gullit,Рууд Гуллит,Gullit,Gullit,굴리트,フリット,Gullit,Gullit,غوليت,Gullit,Gullit,5
,Narciso Yepes,那西索·叶佩斯,那西索·葉佩斯,Narciso Yepes,Narciso Yepes,Нарсисо Йепес,Narciso Yepes,Narciso Yepes,나르시소 예페스,ナルシソ・イエペス,Narciso Yepes,Narciso Yepes,نارسيسو ييبيس,Narciso Yepes,Narciso Yepes,13
,Interlude of Online Drama,《喵星人抢不到》插曲,《喵星人搶不到》插曲,Interlude of Online Drama,Interludio de drama en línea,интерлюдия интернетной  драмы,Episódio de série on-line,"Interlude von Online-Drama",인터넷 드라마 삽입곡,ネットドラマの間奏曲,Episode de série d'Internet,Intermezzo di Online Drama,فاصلة للدراما على الانترنت,Interlude of Online Drama,Interlude of Online Drama,26
,Scotland Folk Music,苏格兰民歌,蘇格蘭民歌,Scottish Folk Music,Música folklórica de Escocia,Шотландская народная песня,Música folclórica escocesa,"Volksmusik von Scotland",스코틀랜드 포크 뮤직,スコットランド民謡,Musique Folklorique de l'Ecosse,Musica Folk Scozzese,الموسيقى الشعبية الاسكتلندية,İskoç Halk Müzikleri,Scottish Folk Music,28
,Danmark Folk Music,丹麦民歌,丹麥民歌,Danish Folk Music,Música folklórica de Dinamarca,Датская народная песня,Música folclórica dinamarquesa,Volksmusik von Dänemark,덴마크 포크 뮤직,デンマーク民謡,Musique Folklorique du Danemark,Musica Folk Danese,الموسيقى الشعبية الدنماركية,Danimarka Halk Müzikleri,Danish Folk Music,27
,Gustav Merkel,默克尔,默克爾,Gustav Merkel,Gustav Merkel,Меркель Г. А.,Gustav Merkel,Gustav Merkel,구스타프 메르켈,グスタフ・メルケル,Gustav Merkel,Gustav Merkel,غوستاف ميركل,Gustav Merkel,Gustav Merkel,12
,Liliuokalani,里留卡拉尼,裡留卡拉尼,Liliuokalani,Liliuokalani,Лилиуокалани,Liliuokalani,Liliuokalani,릴리우오칼라니,リリウオカラニ,Liliuokalani,Liliuokalani,يليوكالاني,Liliuokalani,Liliuokalani,10
,G. Lange,朗格,朗格,G. Lange,G. Lange,Гумбольт А. Ф.,G. Lange,G. Lange,랑게,グスタフ・ランゲ,G. Lange,G. Lange,G. لانج,G. Lange,G. Lange,7
,E.German,杰曼,傑曼,E.German,E.German,Герман. Э.,E.German,E.German,저먼,エドワード・ジャーマン,E.German,E.German,E-الألماني,E.German,E.German,10
,Ukrainian Carol,乌克兰颂歌,烏克蘭頌歌,Ukrainian Carol,Oda ucraniana,Украинские колядки,Ode ucraniana,"Ukraninisches Carol",우크라이나 캐롤,ウクライナ・キャロル,L'ode à Ukraine,Inno Ucraino,الكارول الأوكراني,Ukrayna Noel Şarkısı,Ukrainian Carol,17
,Ancient Welsh Music,威尔士古曲,威爾士古曲,Ancient Welsh Music,Música galés antigua,Древняя валийская музыка,Música Antiga Galesa,"Ulalte walisische Musik",에인션트 웰시 뮤직,古代ウェールズ曲,Chanson Ancienne De Galles,Musica Antica Gallese,موسيقى ويلز القديمة,Antik Galler Müzik,Ancient Welsh Music,19
,Boccherini,博凯里尼,博凱里尼,Boccherini,Boccherini,Луиджи Боккерини,Boccherini,Boccherini,보케리니,ボッケリーニ,Boccherini,Boccherini,بوكريني,Boccherini,Boccherini,7
,Otto Fischer,奥托·费舍尔,奧托·菲舍爾,Otto Fischer,Otto Fischer,Отто Фишер,Otto Fischer,Otto Fischer,오토 피셔,オットー・フィッシャー,Otto Fischer,Otto Fischer,أوتو فيشر,Otto Fischer,Otto Fischer,9
,D. Auber,D. 奥伯,D. 奧伯,D. Auber,D. Auber,Даниэль Обер,D. Auber,D. Auber,오베르,フランソワ・オーベル,D. Auber,D. Auber,ويبر,D. Auber,D. Auber,4
,Clack Chen,陈黑黑,陳黑黑,Clack Chen,Clack Chen,Clack Chen,Clack Chen,Clack Chen,클랙 첸,クラック・チェン,Clack Chen,Clack Chen,تشن هيهي,Clack Chen,Clack Chen,8
,Thomas Haynes Bayly,托马斯·海恩斯·贝利,托馬斯·海恩斯·貝利,Thomas Haynes Bayly,Thomas Haynes Bayly,Томас Хейнс Бэйли,Thomas Haynes Bayly,Thomas Haynes Bayly,토머스헤인즈베일리,トーマス・ヘインズ・ベイリー,Thomas Haynes Bayly,Thomas Haynes Bayly,توماس هاينز بيلي,Thomas Haynes Bayly,Thomas Haynes Bayly,16
,Johann Baptist Vanhal,约翰·巴蒂斯特·万哈尔,約翰·巴蒂斯特·萬哈爾,Johann Baptist Vanhal,Johann Baptist Vanhal,Иоганн Баптист Вангал,Johann Baptist Vanhal,Johann Baptist Vanhal,요한 밥티스트 바날,ヨハン・バプティスト・ヴァンハル,Johann Baptist Vanhal,Johann Baptist Vanhal,يوهان بابتيست وانهيل,Johann Baptist Vanhal,Johann Baptist Vanhal,20
,William J.Kirkpatrick,柯克帕特里克,柯克帕特里克,William J.Kirkpatrick,William J.Kirkpatrick,Уильям Дж. Киркпатрик,William J.Kirkpatrick,William J.Kirkpatrick,윌리엄 커크패트릭,ウィリアム・J.・カークパトリック,William J.Kirkpatrick,William J.Kirkpatrick,وليام كيركباتريك,William J.Kirkpatrick,William J.Kirkpatrick,16
,Vincenzo Bellini,贝里尼,貝里尼,Vincenzo Bellini,Vincenzo Bellini,Винченцо Беллини,Vincenzo Bellini,Vincenzo Bellini,빈첸초 벨리니,ヴィンチェンツォ・ベッリーニ,Vincenzo Bellini,Vincenzo Bellini,فينتشنزو بيليني,Vincenzo Bellini,Vincenzo Bellini,15
,Ede Poldini,波迪尼,波迪尼,Ede Poldini,Ede Poldini,Эде Полдини,Ede Poldini,Ede Poldini,폴디니,エデ・ポルディーニ,Ede Poldini,Ede Poldini,إيدي بولديني,Ede Poldini,Ede Poldini,12
,John Worgan,沃根,沃根,John Worgan,John Worgan,Джон Ворген,John Worgan,John Worgan,존워건,ジョン・ウォーガン,John Worgan,John Worgan,جون,John Worgan,John Worgan,3
,Gesangbuch Wurttemberg,德国圣诗集,德國聖詩集,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,Gesangbuch Württemberg,뷔르템부르크 찬송가집,ウュルテンベルク賛美歌集,Gesangbuch Württemberg,Gesangbuch Württemberg,تراتيل فورتمبيرغ,Gesangbuch Württemberg,Gesangbuch Württemberg,16
,August Ludvig Storm,奥古斯·特斯顿,奧古斯·特斯頓,August Ludvig Storm,August Ludvig Storm,Август Людвиг,August Ludvig Storm,August Ludvig Storm,어거스트스톰,アウグスト・ストローム,August Ludvig Storm,August Ludvig Storm,أغسطس لودفيج,August Ludvig Storm,August Ludvig Storm,12
,Stephen Adams,斯蒂芬·亚当斯,斯蒂芬·亞當斯,Stephen Adams,Stephen Adams,Стивен Адамс,Stephen Adams,Stephen Adams,스테판아담스,スティーブン・アダムス,Stephen Adams,Stephen Adams,ستيفن ادامز,Stephen Adams,Stephen Adams,11
